,date,price
736,2016-08-05,1082.595007
737,2016-08-06,1101.544993
738,2016-08-07,1109.679812
739,2016-08-08,1108.294307
740,2016-08-09,1107.032424
741,2016-08-10,1115.609387
742,2016-08-11,1108.324875
743,2016-08-12,1107.772747
744,2016-08-13,1101.952032
745,2016-08-14,1077.988144
746,2016-08-15,1071.91455
747,2016-08-16,1079.674668
748,2016-08-17,1075.403652
749,2016-08-18,1077.363329
750,2016-08-19,1079.514918
751,2016-08-20,1096.879161
752,2016-08-21,1091.980299
753,2016-08-22,1100.62125
754,2016-08-23,1093.796782
755,2016-08-24,1087.316217
756,2016-08-25,1084.702393
757,2016-08-26,1086.989291
758,2016-08-27,1070.626383
759,2016-08-28,1081.025452
760,2016-08-29,1084.088705
761,2016-08-30,1089.600795
762,2016-08-31,1084.426512
763,2016-09-01,1087.983854
764,2016-09-02,1094.368938
765,2016-09-03,1126.585796
766,2016-09-04,1148.865607
767,2016-09-05,1147.505972
768,2016-09-06,1150.299078
769,2016-09-07,1155.586964
770,2016-09-08,1171.064468
771,2016-09-09,1166.933452
772,2016-09-10,1174.292083
773,2016-09-11,1138.467583
774,2016-09-12,1142.065981
775,2016-09-13,1143.32255
776,2016-09-14,1147.266234
777,2016-09-15,1147.982998
778,2016-09-16,1151.154428
779,2016-09-17,1150.567716
780,2016-09-18,1151.978183
781,2016-09-19,1159.292297
782,2016-09-20,1167.288831
783,2016-09-21,1141.187514
784,2016-09-22,1137.223078
785,2016-09-23,1150.821833
786,2016-09-24,1148.39329
787,2016-09-25,1148.102603
788,2016-09-26,1155.012769
789,2016-09-27,1154.576179
790,2016-09-28,1158.443273
791,2016-09-29,1156.743445
792,2016-09-30,1163.354408
793,2016-10-01,1167.07279
794,2016-10-02,1162.33881
795,2016-10-03,1166.286967
796,2016-10-04,1158.600206
797,2016-10-05,1158.426579
798,2016-10-06,1155.859595
799,2016-10-07,1160.98988
800,2016-10-08,1157.842852
801,2016-10-09,1154.657599
802,2016-10-10,1152.025177
803,2016-10-11,1194.021046
804,2016-10-12,1185.108836
805,2016-10-13,1184.416912
806,2016-10-14,1191.98446
807,2016-10-15,1187.312597
808,2016-10-16,1192.748683
809,2016-10-17,1187.25737
810,2016-10-18,1189.742532
811,2016-10-19,1174.961866
812,2016-10-20,1177.666844
813,2016-10-21,1180.371569
814,2016-10-22,1214.356197
815,2016-10-23,1210.78025
816,2016-10-24,1208.36687
817,2016-10-25,1207.91755
818,2016-10-26,1241.735674
819,2016-10-27,1255.123936
820,2016-10-28,1262.240381
821,2016-10-29,1287.900149
822,2016-10-30,1270.016005
823,2016-10-31,1268.63125
824,2016-11-01,1314.64956
825,2016-11-02,1322.926391
826,2016-11-03,1247.23296
827,2016-11-04,1277.208992
828,2016-11-05,1283.136212
829,2016-11-06,1294.23753
830,2016-11-07,1284.188215
831,2016-11-08,1289.560016
832,2016-11-09,1305.788432
833,2016-11-10,1292.361537
834,2016-11-11,1296.024779
835,2016-11-12,1272.274569
836,2016-11-13,1274.646216
837,2016-11-14,1279.140946
838,2016-11-15,1289.726401
839,2016-11-16,1331.268352
840,2016-11-17,1325.900894
841,2016-11-18,1337.00649
842,2016-11-19,1341.861116
843,2016-11-20,1305.256941
844,2016-11-21,1318.991448
845,2016-11-22,1339.604622
846,2016-11-23,1326.891422
847,2016-11-24,1314.688779
848,2016-11-25,1318.36293
849,2016-11-26,1310.045278
850,2016-11-27,1301.211145
851,2016-11-28,1305.310547
852,2016-11-29,1298.899128
853,2016-11-30,1320.795879
854,2016-12-01,1335.312753
855,2016-12-02,1355.596019
856,2016-12-03,1348.77674
857,2016-12-04,1346.416818
858,2016-12-05,1317.102757
859,2016-12-06,1335.194882
860,2016-12-07,1350.218178
861,2016-12-08,1360.359189
862,2016-12-09,1364.854831
863,2016-12-10,1364.589829
864,2016-12-11,1359.156601
865,2016-12-12,1377.364975
866,2016-12-13,1376.216363
867,2016-12-14,1371.250179
868,2016-12-15,1368.747782
869,2016-12-16,1379.734194
870,2016-12-17,1389.66582
871,2016-12-18,1391.78965
872,2016-12-19,1393.064098
873,2016-12-20,1407.188626
874,2016-12-21,1450.613045
875,2016-12-22,1498.952869
876,2016-12-23,1588.457862
877,2016-12-24,1551.076176
878,2016-12-25,1554.474914
879,2016-12-26,1568.79067
880,2016-12-27,1612.196501
881,2016-12-28,1694.928115
882,2016-12-29,1695.375091
883,2016-12-30,1680.169704
884,2016-12-31,1688.617567
885,2017-01-01,1737.415591
886,2017-01-02,1777.585922
887,2017-01-03,1815.817644
888,2017-01-04,1987.19312
889,2017-01-05,1751.581785
890,2017-01-06,1593.464083
891,2017-01-07,1598.931487
892,2017-01-08,1616.232233
893,2017-01-09,1607.697761
894,2017-01-10,1619.516888
895,2017-01-11,1410.373237
896,2017-01-12,1438.008742
897,2017-01-13,1477.265662
898,2017-01-14,1469.408086
899,2017-01-15,1475.927448
900,2017-01-16,1486.615191
901,2017-01-17,1613.846449
902,2017-01-18,1564.328999
903,2017-01-19,1604.517307
904,2017-01-20,1596.867672
905,2017-01-21,1645.850845
906,2017-01-22,1642.997961
907,2017-01-23,1644.033082
908,2017-01-24,1585.632276
909,2017-01-25,1598.356644
910,2017-01-26,1636.745618
911,2017-01-27,1640.557501
912,2017-01-28,1645.550408
913,2017-01-29,1635.471486
914,2017-01-30,1650.142729
915,2017-01-31,1726.512763
916,2017-02-01,1757.550234
917,2017-02-02,1793.862495
918,2017-02-03,1805.894962
919,2017-02-04,1838.746924
920,2017-02-05,1811.027108
921,2017-02-06,1824.051393
922,2017-02-07,1869.778414
923,2017-02-08,1874.801064
924,2017-02-09,1749.557673
925,2017-02-10,1770.233166
926,2017-02-11,1802.849261
927,2017-02-12,1785.536988
928,2017-02-13,1777.551944
929,2017-02-14,1816.971845
930,2017-02-15,1815.234639
931,2017-02-16,1856.113859
932,2017-02-17,1890.038525
933,2017-02-18,1893.073379
934,2017-02-19,1885.245268
